description,trash_lat,trash_long
157 Brighton Ave / Brighton & Harvard (Tedeschi's),42.35314057,-71.13230407
532 Tremont at Milford St,42.3445374,-71.0705386
279 Purchase Street (Dunkin Donuts),42.35329796,-71.05592657
Washington St / School St,42.3574,-71.05836
46 Bowdoin Street and Cambridge,42.36111,-71.06277
150 Lincoln Street / Lincoln & Beach,42.35104398,-71.05840236
84 Mass Ave / Back Bay Bicycles,42.34883691,-71.08844601
Oliver Street and Purchase Street,42.355418,-71.05206506
Common at Beacon and Spruce,42.35643833,-71.06752667
Commons - Boston Massacre Memorial,42.35450667,-71.06409167
2 South Huntington Ave.,42.3319,-71.111938
Washington & Wirt (Brighton Center) / Next to Police Station,42.34912219,-71.15087141
24 Clarendon,42.344904,-71.07251
Harrison Ave. @ E.Springfield St.,42.33543531,-71.0745811
Clarendon and Tremont St,42.3439099,-71.07181175
230 Bowdoin,42.3056727,-71.0677378
566 Massachusetts ave,42.33784176,-71.07842764
516 Tremont St.,42.3448302,-71.0702141
13 Hudson St.,42.3507629,-71.0600717
1985 Columbus Ave.,42.3152362,-71.0978994
Cambridge and Joy in front of beacon hill athletic club,42.3611127,-71.0650131
609 Tremont Street,42.34282746,-71.07388098
1662 Washington St.,42.33757068,-71.07537059
New Chardon St and Merrimac (Gov't Center Parking garage),42.3630094,-71.05991393
481 Topliff Street,42.3030834,-71.0681902
Atlantic Avenue (Needs Exact Location),42.3576827,-71.0512099
Charles Circle in front of CVS,42.36076893,-71.07051928
Boston Common Tennis Courts (Needs Exact Location),42.3537266,-71.0660265
Boston Common Tennis Courts (Needs Station Location),42.3537266,-71.0660265
563 Columbus Avenue,42.34087,-71.08143
121 Meridian Street,42.37305033,-71.03901464
Harrison Ave. @ Plympton (Police station),42.33963858,-71.06925957
Needs Station Location - Formerly at Game On - Brookline & Landsdowne,42.34712365,-71.09853408
1568 Tremont Street,42.33317,-71.10196
American Legion Playground,42.38146441,-71.02878912
Condor & Glendon,42.38239415,-71.03000741
333 Mass Ave / Mass & Huntington (Utrecht Art Supply),42.3425617,-71.08491297
1884 Commonwealth Ave,42.33800497,-71.15289493
Boston Commons of Frog Pond,42.35625862,-71.06287372
Needs location and station ID,42.34089,-71.0627287
Unknown,42.3429057,-71.0576626
177 Brighton Avenue // Brighton & Quint at CVS,42.3533553,-71.13392075
Commons Freedom Trail near visitors center loop,42.35538867,-71.06331657
Commons Freedom Trail - on Tremont across from UBurger,42.35593427,-71.06287916
Commons Freedom Trail - on Tremont across from Lamberts,42.35564083,-71.06299405
Christopher Columbus Waterfront Park - Harborwalk @ bottom of stairs,42.36122148,-71.05082516
Christopher Columbus Waterfront Park - Fountain,42.36108686,-71.05224626
Christopher Columbus Waterfront Park - Harborwalk @ split,42.3616245,-71.05084789
Christopher Columbus Waterfront Park - ParkPath Intersection,42.36078913,-71.05160142
Commons T Entrance @ Tremont & Park St.,42.35632443,-71.0626422
